rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
11,pit,20,,Wyatt Sanford,815608,218,46,53,8,3,5,.384,.760,.376,25,34,54,34,8,98,82,.243,SS,ALL (2)
11,sd,25,,Tirso Ornelas,672359,332,63,93,21,0,10,.376,.810,.434,58,48,66,7,2,159,144,.280,LF,ALL (2)
11,col,24,,Zac Veen,691728,411,60,113,24,5,12,.345,.790,.445,62,41,100,16,6,178,183,.275,LF,ALL (3)
11,cin,19,,Adolfo Sanchez,807645,121,36,41,8,3,2,.474,.978,.504,27,24,21,10,4,61,61,.339,OF,ROK
11,min,22,,Kyle DeBarge,814414,459,77,109,23,5,8,.347,.709,.362,65,70,121,66,8,195,166,.237,SS,A+
11,ana,18,,Gabriel Davalillo,829058,139,28,42,7,1,7,.408,.926,.518,31,23,21,3,0,58,72,.302,C,ROK
11,oak,22,,Gavin Turley,702504,107,15,26,8,0,4,.336,.766,.430,20,14,34,0,0,52,46,.243,OF,A
11,chc,22,,Cristian Hernandez,694183,444,54,112,25,2,7,.329,.694,.365,53,53,105,52,9,174,162,.252,SS,A+
11,mia,21,,Dillon Head,702977,362,60,81,4,9,4,.336,.654,.318,39,59,82,37,9,148,115,.224,CF,ALL (2)
11,sea,20,,Tai Peete,806191,475,58,103,24,4,19,.288,.692,.404,63,46,162,25,11,247,192,.217,OF,A+
11,mil,18,,Brady Ebel,815816,58,6,14,1,0,0,.333,.592,.259,4,6,17,0,1,30,15,.241,SS,A
12,was,23,,Caleb Lomavita,701616,396,35,109,17,2,6,.340,.714,.374,47,23,92,7,1,165,148,.275,C,ALL (2)
12,min,18,,Quentin Young,815839,17,3,2,0,0,0,.227,.345,.118,3,2,9,0,0,12,2,.118,SS,A
12,la,20,,Joendry Vargas,806959,133,17,30,3,1,5,.284,.660,.376,24,11,45,17,2,85,50,.226,SS,ALL (2)
12,ari,20,,Jansel Luis,800306,421,65,131,21,8,5,.347,.782,.435,67,27,74,24,7,201,183,.311,SS,ALL (2)
12,cws,21,,William Bergolla,703151,486,70,139,19,2,0,.342,.675,.333,36,37,26,40,11,218,162,.286,2B,AA
12,phi,20,,Griffin Burkholder,816120,127,16,25,10,1,4,.290,.676,.386,13,12,42,1,0,63,49,.197,OF,ALL (2)
12,kc,20,,Asbel Gonzalez,808706,415,82,99,12,3,1,.365,.654,.289,21,54,86,78,26,135,120,.239,OF,A
12,mil,21,,Luis Lara,800325,513,79,132,32,3,2,.369,.712,.343,40,86,99,44,7,190,176,.257,CF,AA
12,cin,20,,Arnaldo Lantigua,806984,302,50,80,26,3,12,.334,.824,.490,56,27,78,2,4,164,148,.265,OF,ALL (2)
12,pit,23,,Nick Yorke,694377,470,62,131,24,3,8,.336,.730,.394,67,39,112,18,6,212,185,.279,2B,ALL (2)
12,nyy,22,,Kaeden Kent,809763,102,8,19,2,0,2,.217,.482,.265,17,3,19,0,1,54,27,.186,SS,A+
12,det,20,,Franyerber Montilla,800508,258,43,70,16,2,4,.368,.763,.395,29,38,74,27,7,123,102,.271,SS,A
12,cle,21,,Alfonsin Rosario,806210,434,69,109,22,3,21,.345,.806,.461,64,52,137,14,2,206,200,.251,OF,ALL (2)
12,sd,19,,Ty Harvey,829210,23,3,4,0,0,0,.367,.541,.174,1,7,12,0,0,14,4,.174,C,A
12,tor,24,,Josh Kasevich,688460,136,8,31,2,0,0,.331,.574,.243,12,21,24,0,3,69,33,.228,SS,ALL (3)
12,tex,20,,Devin Fitz-Gerald,803849,139,33,42,7,0,6,.428,.910,.482,20,28,24,8,2,49,67,.302,SS,ALL (2)
12,sf,23,,Maui Ahuna,694757,234,49,63,22,3,5,.370,.823,.453,36,31,74,12,2,109,106,.269,SS,ALL (3)
12,nym,22,,Eli Serrano III,702501,324,51,72,21,1,7,.332,.690,.358,46,50,77,9,3,133,116,.222,OF,A+
12,chc,21,,Kane Kepley,823807,97,28,29,1,3,2,.481,.914,.433,15,25,15,16,4,33,42,.299,OF,A
12,mia,22,,Brandon Compton,703680,92,9,20,3,2,2,.354,.713,.359,17,19,37,8,1,49,33,.217,OF,A+
12,sea,19,,Nick Becker,829306,24,5,5,0,0,0,.321,.529,.208,2,4,9,2,0,13,5,.208,SS,A
