rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
304,col,25,115,678020,Seth Halvorsen,32,1.4,31.1,30,19,15,14,29,5,94,131,465,4.31,6,4,3,1,2,0,0,0,,,,
305,nyy,30,147,642528,Jonathan Loáisiga,16,1.26,16.2,15,9,8,6,15,4,50,73,260,4.32,0,4,2,0,1,0,0,0,,,,
306,nyy,31,121,664849,Danny Young,10,1.44,8.1,9,5,4,3,13,0,25,37,158,4.32,0,4,0,0,0,0,0,0,,,,
307,min,34,142,623437,Justin Topa,28,1.34,29.0,30,17,14,9,23,1,87,128,457,4.34,0,2,2,1,2,1,0,0,,,,
308,sf,29,137,676254,Ryan Walker,33,1.13,31.0,27,17,15,8,30,2,93,131,503,4.35,10,6,4,1,3,0,0,0,HAM,HAM,61627,RP
309,fa,28,556,663542,Bryan Hudson,12,1.94,10.1,8,7,5,12,13,0,31,54,234,4.35,0,2,0,0,1,0,0,0,,,,
310,tor,34,141,643338,Chad Green,34,1.33,33.0,36,17,16,8,28,10,99,138,519,4.36,1,4,0,2,2,0,0,0,,,,
311,cws,26,145,673929,Jordan Leasure,33,1.5,28.2,28,16,14,15,35,5,86,129,546,4.4,1,8,3,2,4,1,0,0,,,,
312,cin,34,113,607259,Nick Martinez,17,1.23,86.0,87,43,42,19,63,13,258,354,1309,4.4,0,1,0,4,8,15,0,0,B2J,B2J,9651,"SP,RP"
313,laa,35,108,542881,Tyler Anderson,16,1.37,85.2,84,46,42,33,70,15,257,375,1492,4.41,0,0,0,2,5,16,0,0,,,,
314,chc,34,112,607067,Colin Rea,16,1.39,73.1,83,37,36,19,54,13,220,312,1183,4.42,1,0,0,4,3,12,0,0,,,,
315,sd,29,135,656302,Dylan Cease,16,1.29,87.1,80,45,43,33,109,8,262,373,1514,4.43,0,0,0,3,6,16,0,0,LAW,LAW,10438,SP
316,cws,27,145,685126,Brandon Eisert,35,1.34,34.1,38,17,17,8,39,4,103,152,584,4.46,2,4,2,2,1,2,0,0,,,,
317,det,29,116,663947,Tyler Holton,33,1.27,36.1,38,19,18,8,30,8,109,150,556,4.46,0,7,3,3,3,4,0,0,,,,
318,chc,33,112,592791,Jameson Taillon,16,1.1,90.2,81,46,45,19,70,21,272,367,1386,4.47,0,0,0,7,5,16,0,0,HAM,HAM,9123,SP
319,stl,26,138,669467,Andre Pallante,15,1.31,82.1,81,43,41,27,58,11,247,352,1312,4.48,0,0,0,5,3,15,0,0,,,,
320,pit,34,134,571760,Andrew Heaney,16,1.25,86.1,78,43,43,30,64,14,259,363,1381,4.48,0,0,0,3,7,16,0,0,,,,
321,nyy,33,121,592773,Ryne Stanek,31,1.5,26.0,28,18,13,11,26,2,78,117,494,4.5,1,5,3,2,4,0,0,0,,,,
322,fa,29,105,663941,Tristan Beck,6,1.25,12.0,9,6,6,6,7,2,36,50,185,4.5,0,1,0,1,0,0,0,0,,,,
323,bal,35,110,552640,Andrew Kittredge,14,1.57,14.0,16,8,7,6,15,2,42,65,227,4.5,0,4,0,1,1,0,0,0,,,,
324,cws,25,145,680732,Sean Burke,15,1.42,76.0,73,44,38,35,61,11,228,333,1286,4.5,0,0,0,3,7,13,0,0,,,,
325,laa,25,108,672282,Reid Detmers,31,1.5,34.0,34,18,17,17,44,2,102,147,603,4.5,2,6,1,3,2,0,0,0,DRO,DRO,11926,"SP,RP"
326,fa,38,526,472610,Luis García,26,1.69,26.0,29,14,13,15,23,1,78,116,463,4.5,0,2,1,2,0,0,0,0,,,,
327,fa,38,526,472610,Luis García,26,1.69,26.0,29,14,13,15,23,1,78,116,463,4.5,0,2,1,2,0,0,0,0,,,,
328,hou,27,117,669713,Hayden Wesneski,6,1.09,32.0,29,16,16,6,29,7,96,131,508,4.5,0,0,0,1,3,6,0,0,,,,
329,fa,31,238,607192,Tyler Glasnow,5,1.28,18.0,12,9,9,11,23,4,54,77,306,4.5,0,0,0,1,0,5,0,0,TBB,TBB,9616,SP
